SMILES,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Charge,Covalent_Unit_Count,es_natural
C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)Br)[O-])Br)Br)Br)C(=O)[O-].[Na+].[Na+],691.9,89.5,796,,31,0,5,0,3,True
[B-]1(N2C(=CC=C2CCC(=O)NCCN(C)C)C=C3[N+]1=C(C=C3)C4=CC=CN4)(F)F,399.2,56.1,751,,29,2,5,0,1,True
CCN1/C(=C\C2=[N+](C(=NC(=C2)C)C3=CC=CC=C3)C)/C=CC4=CC=CC=C41.[Cl-],389.9,20.0,548,,28,0,3,0,2,True
CCCCCCC1=C(SC(=C1)C2=C(C=C(S2)C3=C(C=C(S3)C4=C(C=C(S4)C5=CC6=C(C=C5)N(C7=CC=CC=C76)CC)CCCCCC)CCCCCC)CCCCCC)/C=C(\C#N)/C(=O)O,955.5,179.0,1530,20.9,66,1,7,0,1,True
CCN1C(=O)C(=C2N(C(=O)C(=CC3=CC4=C(C=C3)N(C5C4CCC5)C6=CC=C(C=C6)C=C(C7=CC=CC=C7)C8=CC=CC=C8)S2)CC(=O)O)SC1=S,741.9,164.0,1480,9.7,52,1,8,0,1,True
CN(C)C1=CC2=C(C=C1)C=C3C=CC(=CC3=N2)N(C)C,265.35,19.4,298,3.4,20,0,3,0,1,True
C[N+]1=CC=CC=C1/C=C/C2=CC=C(C=C2)N(C)C.[I-],366.24,7.1,264,,19,0,2,0,2,True
CC1=CC2=C(C=C1)[N+](=C(S2)C3=CC=C(C=C3)N(C)C)C.[Cl-],318.9,35.4,325,,21,0,3,0,2,True
CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=NCC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.Cl,479.0,59.9,868,,34,2,5,0,2,True
C1=CC=C(C=C1)OC2=CC3=C(C=C2)C4=NC5=NC(=NC6=C7C=C(C=CC7=C([N-]6)N=C8C9=C(C=CC(=C9)OC1=CC=CC=C1)C(=N8)N=C3[N-]4)OC1=CC=CC=C1)C1=C5C=C(C=C1)OC1=CC=CC=C1.O=[V+2],947.8,130.0,1890,,70,0,9,0,2,True
C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94.[Na+].[Na+],558.5,79.3,789,,42,0,8,0,3,True
CCN\1C2=CC=CC=C2S/C1=C\C=C\C=C\C3=[N+](C4=CC=CC=C4S3)CC.[I-],518.5,60.7,537,,28,0,4,0,2,True
CC1=CC=C(C=C1)S(=O)(=O)[O-].CN\1C2=CC=CC=C2S/C1=C\C3=CC=[N+](C4=CC=CC=C34)C,476.6,98.0,628,,33,0,5,0,2,True
